,position_start,position_end,profit_return_lim,loss_return_lim,touch_time,label
0,2010-01-05 04:35:10,2010-01-06 04:36:41,0.0008928864312071433,-0.0008928864312071433,2010-01-05 06:48:32,1
1,2010-01-05 06:48:41,2010-01-06 06:48:52,0.0008274725430474882,-0.0008274725430474882,2010-01-05 07:19:38,-1
2,2010-01-05 07:29:14,2010-01-06 07:29:33,0.0008293321170858465,-0.0008293321170858465,2010-01-05 07:32:17,1
3,2010-01-05 15:30:12,2010-01-06 15:32:45,0.0010637995541733232,-0.0010637995541733232,2010-01-05 19:45:20,-1
4,2010-01-05 20:04:45,2010-01-06 20:19:54,0.00335889277821961,-0.00335889277821961,2010-01-06 18:37:55,1
5,2010-01-06 03:12:26,2010-01-07 03:13:31,0.0016136580522799575,-0.0016136580522799575,2010-01-06 05:06:59,1
6,2010-01-06 04:51:31,2010-01-07 04:52:15,0.0013264594348755402,-0.0013264594348755402,2010-01-06 06:16:32,-1
7,2010-01-06 06:15:38,2010-01-07 06:15:44,0.0008939339057932344,-0.0008939339057932344,2010-01-06 06:26:06,-1
8,2010-01-06 07:09:51,2010-01-07 07:11:38,0.000953349135129074,-0.000953349135129074,2010-01-06 07:42:34,1
9,2010-01-06 07:42:42,2010-01-07 07:43:05,0.0010782664735206112,-0.0010782664735206112,2010-01-06 15:30:00,1
10,2010-01-06 15:30:00,2010-01-07 15:30:00,0.0011792559227429833,-0.0011792559227429833,2010-01-06 20:24:53,-1
11,2010-01-06 21:40:05,2010-01-07 22:01:17,0.0008571334274184799,-0.0008571334274184799,2010-01-07 00:14:34,-1
12,2010-01-07 02:35:30,2010-01-08 02:41:12,0.00074544765476608,-0.00074544765476608,2010-01-07 02:46:00,-1
13,2010-01-07 03:55:45,2010-01-08 03:56:13,0.0005521340896435773,-0.0005521340896435773,2010-01-07 03:57:18,-1
14,2010-01-07 05:28:53,2010-01-08 05:29:20,0.0010218166425179733,-0.0010218166425179733,2010-01-07 07:46:03,1
15,2010-01-07 07:46:03,2010-01-08 07:46:06,0.0005977329087114926,-0.0005977329087114926,2010-01-07 08:05:55,-1
16,2010-01-07 15:30:00,2010-01-10 17:00:00,0.001092068989649393,-0.001092068989649393,2010-01-08 01:26:41,1
17,2010-01-08 01:28:41,2010-01-10 17:00:00,0.0027761940165544636,-0.0027761940165544636,2010-01-08 07:30:00,-1
18,2010-01-08 06:49:54,2010-01-10 17:00:00,0.0009871643560886172,-0.0009871643560886172,2010-01-08 07:27:52,1
19,2010-01-08 07:28:20,2010-01-10 17:00:00,0.0007506152982548071,-0.0007506152982548071,2010-01-08 07:30:00,-1
20,2010-01-08 07:30:00,2010-01-10 17:00:00,0.0008218058755284534,-0.0008218058755284534,2010-01-08 07:30:04,-1
21,2010-01-08 07:30:55,2010-01-10 17:00:00,0.001490541297688186,-0.001490541297688186,2010-01-08 07:37:52,-1
22,2010-01-08 07:38:27,2010-01-10 17:00:00,0.0014722378424080124,-0.0014722378424080124,2010-01-08 07:55:39,1
23,2010-01-08 07:46:06,2010-01-10 17:00:00,0.002032940672977277,-0.002032940672977277,2010-01-10 17:00:00,0
24,2010-01-08 08:00:31,2010-01-10 17:00:00,0.0015251024505502577,-0.0015251024505502577,2010-01-08 08:09:13,-1
25,2010-01-08 08:12:28,2010-01-10 17:00:00,0.0013094457883095268,-0.0013094457883095268,2010-01-10 17:00:00,0
26,2010-01-10 17:00:00,2010-01-11 17:04:10,0.0013935620605092323,-0.0013935620605092323,2010-01-10 17:16:18,1
27,2010-01-10 17:16:18,2010-01-11 17:33:53,0.002627014986342481,-0.002627014986342481,2010-01-10 21:04:41,1
28,2010-01-10 17:43:26,2010-01-11 17:53:56,0.002864461024978686,-0.002864461024978686,2010-01-11 15:31:11,-1
29,2010-01-10 21:10:32,2010-01-11 21:19:31,0.0032867164209675233,-0.0032867164209675233,2010-01-11 15:30:07,-1
30,2010-01-11 01:00:36,2010-01-12 01:09:04,0.0029538945905998497,-0.0029538945905998497,2010-01-11 15:31:11,-1
31,2010-01-11 02:16:17,2010-01-12 02:17:29,0.0022076614564655677,-0.0022076614564655677,2010-01-11 15:30:07,-1
32,2010-01-11 05:21:18,2010-01-12 05:21:23,0.0005691738171814324,-0.0005691738171814324,2010-01-11 05:30:00,1
33,2010-01-11 15:30:07,2010-01-12 15:30:41,0.0006562795982951667,-0.0006562795982951667,2010-01-11 15:31:11,-1
34,2010-01-11 15:51:24,2010-01-12 15:53:53,0.0019815183422473653,-0.0019815183422473653,2010-01-11 18:53:43,1
35,2010-01-11 18:53:43,2010-01-12 19:03:28,0.007019964539714145,-0.007019964539714145,2010-01-12 05:10:52,-1
36,2010-01-11 20:07:39,2010-01-12 20:12:57,0.0072342755162263005,-0.0072342755162263005,2010-01-12 20:12:57,0
37,2010-01-11 23:56:55,2010-01-13 00:09:51,0.0072290628992036235,-0.0072290628992036235,2010-01-13 00:09:51,0
38,2010-01-12 02:10:17,2010-01-13 02:11:09,0.0055799689544267965,-0.0055799689544267965,2010-01-12 05:10:51,-1
39,2010-01-12 02:25:32,2010-01-13 02:25:35,0.005049808274386243,-0.005049808274386243,2010-01-12 05:11:35,-1
40,2010-01-12 03:25:55,2010-01-13 03:25:55,0.0035302012281274364,-0.0035302012281274364,2010-01-12 05:11:35,-1
41,2010-01-12 04:18:16,2010-01-13 04:22:21,0.002696534849589427,-0.002696534849589427,2010-01-12 05:03:55,-1
42,2010-01-12 05:02:24,2010-01-13 05:03:33,0.0022061661866392052,-0.0022061661866392052,2010-01-12 05:10:50,-1
43,2010-01-12 05:04:00,2010-01-13 05:07:25,0.002113326651842783,-0.002113326651842783,2010-01-13 01:48:59,-1
44,2010-01-12 05:11:35,2010-01-13 05:12:20,0.0018304253364275138,-0.0018304253364275138,2010-01-12 05:48:40,1
45,2010-01-12 05:48:40,2010-01-13 05:50:56,0.001250331912008153,-0.001250331912008153,2010-01-12 07:21:05,-1
46,2010-01-12 07:21:05,2010-01-13 07:28:14,0.0009281560326840863,-0.0009281560326840863,2010-01-12 07:41:17,1
47,2010-01-12 07:50:37,2010-01-13 07:51:07,0.0009081757429371519,-0.0009081757429371519,2010-01-12 08:06:29,-1
48,2010-01-12 18:30:13,2010-01-13 18:30:49,0.0023117964601986536,-0.0023117964601986536,2010-01-13 01:38:22,-1
49,2010-01-12 20:06:47,2010-01-13 20:09:23,0.00221620276097171,-0.00221620276097171,2010-01-13 03:13:26,1
50,2010-01-12 20:33:00,2010-01-13 20:39:48,0.0023704467865495685,-0.0023704467865495685,2010-01-13 01:04:02,-1
51,2010-01-12 21:09:58,2010-01-13 21:16:25,0.002542061313986857,-0.002542061313986857,2010-01-13 07:04:10,1
52,2010-01-12 23:29:18,2010-01-13 23:30:23,0.0023890743137293794,-0.0023890743137293794,2010-01-13 01:23:13,-1
53,2010-01-13 01:00:10,2010-01-14 01:02:41,0.0022183454290882606,-0.0022183454290882606,2010-01-13 03:13:26,1
54,2010-01-13 02:25:02,2010-01-14 02:25:12,0.0014262439964899637,-0.0014262439964899637,2010-01-13 03:13:26,1
55,2010-01-13 04:29:36,2010-01-14 04:32:16,0.001882440307856521,-0.001882440307856521,2010-01-13 06:35:35,1
56,2010-01-13 06:29:01,2010-01-14 06:29:43,0.0017499621647784655,-0.0017499621647784655,2010-01-13 15:30:00,1
57,2010-01-13 15:30:00,2010-01-14 15:30:00,0.0014913561068049422,-0.0014913561068049422,2010-01-13 18:32:17,1
58,2010-01-13 18:32:17,2010-01-14 18:47:25,0.002900011913288089,-0.002900011913288089,2010-01-14 06:50:32,-1
59,2010-01-14 02:11:01,2010-01-15 02:11:17,0.0032116065173667524,-0.0032116065173667524,2010-01-14 07:57:12,-1
60,2010-01-14 05:17:03,2010-01-15 05:19:12,0.0010593154255796812,-0.0010593154255796812,2010-01-14 06:03:59,1
61,2010-01-14 06:50:34,2010-01-15 06:50:56,0.0012360086065257936,-0.0012360086065257936,2010-01-14 06:56:23,1
62,2010-01-14 07:00:42,2010-01-15 07:01:14,0.0011964741047542716,-0.0011964741047542716,2010-01-14 07:03:43,1
63,2010-01-14 07:30:00,2010-01-15 07:31:13,0.0009932721989515101,-0.0009932721989515101,2010-01-14 07:31:01,1
64,2010-01-14 07:33:36,2010-01-15 07:35:03,0.0009294506576467166,-0.0009294506576467166,2010-01-14 07:44:00,-1
65,2010-01-14 07:46:31,2010-01-15 07:47:28,0.0008950335025561793,-0.0008950335025561793,2010-01-14 07:53:12,-1
66,2010-01-14 15:30:00,2010-01-17 17:00:00,0.0013151276866447167,-0.0013151276866447167,2010-01-14 17:58:58,-1
67,2010-01-14 17:58:58,2010-01-17 17:00:00,0.0011595842227567594,-0.0011595842227567594,2010-01-14 19:54:29,-1
68,2010-01-14 19:54:29,2010-01-17 17:00:00,0.001657703009137168,-0.001657703009137168,2010-01-15 02:50:56,1
69,2010-01-15 00:00:03,2010-01-17 17:00:00,0.002377133947572192,-0.002377133947572192,2010-01-15 05:02:09,-1
70,2010-01-15 02:04:27,2010-01-17 17:00:00,0.002260473627428226,-0.002260473627428226,2010-01-15 02:46:48,1
71,2010-01-15 02:46:12,2010-01-17 17:00:00,0.0019743794118422336,-0.0019743794118422336,2010-01-15 04:10:11,-1
72,2010-01-15 04:06:00,2010-01-17 17:00:00,0.001573481486993012,-0.001573481486993012,2010-01-15 05:02:03,-1
73,2010-01-15 04:14:32,2010-01-17 17:00:00,0.001440877446487236,-0.001440877446487236,2010-01-15 04:53:18,-1
74,2010-01-15 04:55:02,2010-01-17 17:00:00,0.0012804300721506346,-0.0012804300721506346,2010-01-15 05:57:41,1
75,2010-01-15 05:59:01,2010-01-17 17:00:00,0.0012405592659894451,-0.0012405592659894451,2010-01-15 05:59:54,-1
76,2010-01-15 05:59:54,2010-01-17 17:00:00,0.0012213452102187205,-0.0012213452102187205,2010-01-15 06:04:36,-1
77,2010-01-15 06:05:09,2010-01-17 17:00:00,0.0012897458148039955,-0.0012897458148039955,2010-01-15 06:11:01,-1
78,2010-01-15 06:11:04,2010-01-17 17:00:00,0.0019104691215070192,-0.0019104691215070192,2010-01-15 06:23:57,1
79,2010-01-15 06:23:57,2010-01-17 17:00:00,0.0018193018052886842,-0.0018193018052886842,2010-01-17 17:00:00,-1
80,2010-01-15 06:51:22,2010-01-17 17:00:00,0.0013709311891005461,-0.0013709311891005461,2010-01-15 07:06:00,1
81,2010-01-15 07:20:52,2010-01-17 17:00:00,0.001302095143208889,-0.001302095143208889,2010-01-17 17:00:00,-1
82,2010-01-15 07:47:28,2010-01-17 17:00:00,0.00130704767645526,-0.00130704767645526,2010-01-17 17:00:00,-1
83,2010-01-17 17:00:00,2010-01-18 17:00:00,0.0018243880775346735,-0.0018243880775346735,2010-01-17 17:04:49,-1
84,2010-01-17 17:04:49,2010-01-18 17:05:17,0.002695049019881963,-0.002695049019881963,2010-01-17 21:03:50,1
85,2010-01-17 18:15:55,2010-01-18 18:17:20,0.004297943450586048,-0.004297943450586048,2010-01-18 01:06:24,1
86,2010-01-17 19:53:01,2010-01-18 19:58:05,0.0039032276553040116,-0.0039032276553040116,2010-01-18 10:08:25,1
87,2010-01-17 23:44:23,2010-01-19 00:00:02,0.0031489472148727516,-0.0031489472148727516,2010-01-19 00:00:02,0
88,2010-01-18 02:49:56,2010-01-19 02:50:03,0.0020253212074732184,-0.0020253212074732184,2010-01-18 07:42:35,1
89,2010-01-18 03:26:38,2010-01-19 03:26:59,0.001543869082920816,-0.001543869082920816,2010-01-18 08:32:20,1
90,2010-01-18 07:42:35,2010-01-19 07:42:56,0.0009369661504885157,-0.0009369661504885157,2010-01-18 10:13:33,1
91,2010-01-18 10:13:52,2010-01-19 15:30:13,0.0010071086952318535,-0.0010071086952318535,2010-01-18 20:27:44,-1
92,2010-01-18 20:29:21,2010-01-19 20:31:08,0.004226707065325339,-0.004226707065325339,2010-01-19 03:40:40,-1
93,2010-01-19 02:17:13,2010-01-20 02:19:00,0.002086478936610707,-0.002086478936610707,2010-01-19 03:36:56,-1
94,2010-01-19 03:28:21,2010-01-20 03:29:17,0.0014295528974288803,-0.0014295528974288803,2010-01-19 03:43:50,-1
95,2010-01-19 03:50:21,2010-01-20 03:50:43,0.0019889087413546155,-0.0019889087413546155,2010-01-19 07:00:54,-1
96,2010-01-19 04:34:14,2010-01-20 04:36:38,0.0012724237728517758,-0.0012724237728517758,2010-01-19 04:55:33,-1
97,2010-01-19 05:46:03,2010-01-20 05:49:49,0.0010039867275844787,-0.0010039867275844787,2010-01-19 07:00:36,-1
98,2010-01-19 07:00:36,2010-01-20 07:00:39,0.0009477411470091698,-0.0009477411470091698,2010-01-19 07:02:29,-1
99,2010-01-19 07:08:13,2010-01-20 07:11:50,0.0013223848252013975,-0.0013223848252013975,2010-01-19 07:22:39,1
100,2010-01-19 07:22:39,2010-01-20 07:22:57,0.0010850505799853266,-0.0010850505799853266,2010-01-19 07:30:55,1
101,2010-01-19 07:36:16,2010-01-20 07:37:00,0.0012861982779848304,-0.0012861982779848304,2010-01-19 07:48:08,-1
102,2010-01-19 15:30:13,2010-01-20 15:32:09,0.0018508508295025318,-0.0018508508295025318,2010-01-19 19:18:41,-1
103,2010-01-19 19:16:10,2010-01-20 19:32:03,0.005575109700217759,-0.005575109700217759,2010-01-20 02:11:58,-1
104,2010-01-19 19:18:41,2010-01-20 19:32:03,0.005567554225498092,-0.005567554225498092,2010-01-20 08:03:42,-1
105,2010-01-19 20:17:00,2010-01-20 20:23:49,0.0053857962110899025,-0.0053857962110899025,2010-01-20 08:04:43,-1
106,2010-01-19 20:58:46,2010-01-20 21:03:44,0.004860196368286515,-0.004860196368286515,2010-01-20 05:57:01,-1
107,2010-01-19 23:09:16,2010-01-20 23:33:24,0.004534366140359324,-0.004534366140359324,2010-01-20 07:50:00,-1
108,2010-01-20 02:01:34,2010-01-21 02:01:37,0.002323391783434194,-0.002323391783434194,2010-01-20 07:49:50,-1
109,2010-01-20 02:43:18,2010-01-21 02:44:19,0.0014730990918301204,-0.0014730990918301204,2010-01-20 05:26:49,-1
110,2010-01-20 03:44:04,2010-01-21 03:44:41,0.0016569859811231364,-0.0016569859811231364,2010-01-20 06:00:22,-1
111,2010-01-20 05:26:57,2010-01-21 05:27:00,0.0008341676476105006,-0.0008341676476105006,2010-01-20 05:57:19,-1
112,2010-01-20 06:00:22,2010-01-21 06:00:27,0.000750900373241758,-0.000750900373241758,2010-01-20 06:00:36,1
113,2010-01-20 06:50:14,2010-01-21 06:50:39,0.0007854269183104536,-0.0007854269183104536,2010-01-20 07:00:25,1
114,2010-01-20 07:02:10,2010-01-21 07:02:15,0.001289276957546044,-0.001289276957546044,2010-01-20 07:03:18,1
115,2010-01-20 07:05:48,2010-01-21 07:06:36,0.0017204168232526772,-0.0017204168232526772,2010-01-20 07:28:51,-1
116,2010-01-20 07:23:11,2010-01-21 07:23:37,0.0018733487024803319,-0.0018733487024803319,2010-01-20 07:49:50,-1
117,2010-01-20 07:46:57,2010-01-21 07:47:02,0.0020439988617860887,-0.0020439988617860887,2010-01-20 15:32:09,-1
118,2010-01-20 15:32:09,2010-01-21 15:33:28,0.00274833977305305,-0.00274833977305305,2010-01-20 23:35:26,1
